===== Simulator configuration =====
BLOCKSIZE:  32
L1_SIZE:    8192
L1_ASSOC:   1
L2_SIZE:    131072
L2_ASSOC:   4
PREF_N:     0
PREF_M:     0
trace_file: ../traces/gcc_trace.txt

===== L1 contents =====
set      0: 2002b D
set      1: 2002b D
set      2: 2002b D
set      3: 2001b D
set      4: 2002b D
set      5: 2002b D
set      6: 2002b D
set      7: 2002b D
set      8: 2002b D
set      9: 2002b D
set     10: 2002b D
set     11: 2002b D
set     12: 2002b D
set     13: 2002b D
set     14: 2001d  
set     15: 2002b D
set     16: 2001d D
set     17: 2001c D
set     18: 20024  
set     19: 2001c D
set     20: 2002b D
set     21: 2001c  
set     22: 2002a D
set     23: 20018 D
set     24: 2002a D
set     25: 2002a D
set     26: 2002a D
set     27: 2002a D
set     28: 2002a D
set     29: 2001d D
set     30: 2001c  
set     31: 2001d D
set     32: 2002a D
set     33: 2002a D
set     34: 2002a D
set     35: 2002a D
set     36: 2002a D
set     37: 2001b D
set     38: 2001b D
set     39: 2001b D
set     40: 2001b D
set     41: 2001b D
set     42: 2001b D
set     43: 2002a D
set     44: 2001f  
set     45: 2001b D
set     46: 2001b D
set     47: 20022 D
set     48: 20022 D
set     49: 20015 D
set     50: 20022 D
set     51: 2001f D
set     52: 2001f D
set     53: 2002a D
set     54: 20022 D
set     55: 2002a D
set     56: 2002a D
set     57: 2002a D
set     58: 2002a D
set     59: 2002a D
set     60: 2002a D
set     61: 2001b D
set     62: 2001b D
set     63: 2002a D
set     64: 2001f D
set     65: 2001b D
set     66: 2002a D
set     67: 2002a D
set     68: 2002a D
set     69: 2002a D
set     70: 2001e D
set     71: 2002a D
set     72: 2002a D
set     73: 2002a D
set     74: 20021 D
set     75: 20021 D
set     76: 2001f D
set     77: 2002a D
set     78: 2002a D
set     79: 2002a D
set     80: 2002a D
set     81: 2002a D
set     82: 2002a D
set     83: 2002a D
set     84: 2002a D
set     85: 2002a D
set     86: 2002a D
set     87: 2002a D
set     88: 2002a D
set     89: 2001b  
set     90: 2002a D
set     91: 2001b D
set     92: 2001b D
set     93: 2001f D
set     94: 2001f D
set     95: 2002a D
set     96: 2002a D
set     97: 2002a D
set     98: 2002a D
set     99: 2002a D
set    100: 2002a D
set    101: 2002a D
set    102: 2002a D
set    103: 2001f D
set    104: 2002a D
set    105: 2002a D
set    106: 2002a D
set    107: 2002a D
set    108: 2002a D
set    109: 2002a D
set    110: 2001b D
set    111: 2001b D
set    112: 2002a D
set    113: 2001b  
set    114: 2001f D
set    115: 20029 D
set    116: 2002a D
set    117: 2002a D
set    118: 2002a D
set    119: 2002a D
set    120: 2001f D
set    121: 2000f  
set    122: 2000f  
set    123: 2000e  
set    124: 2000e  
set    125: 2000f  
set    126: 2001a D
set    127: 20019 D
set    128: 20019 D
set    129: 20019 D
set    130: 20019 D
set    131: 20029 D
set    132: 2000f  
set    133: 2002a D
set    134: 2002a D
set    135: 2002a D
set    136: 2002a D
set    137: 2002a D
set    138: 2002a D
